Date,Counts
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,1005
2020-03-20,2767
2020-03-21,360
2020-03-22,120
2020-03-23,2265
2020-03-24,6300
2020-03-25,8977
2020-03-26,7035
2020-03-27,12915
2020-03-28,630
2020-03-29,900
2020-03-30,20385
2020-03-31,16800
2020-04-01,17955
2020-04-02,17085
2020-04-03,22140
2020-04-04,2070
2020-04-05,1500
2020-04-06,23782
2020-04-07,33600
2020-04-08,29925
2020-04-09,37185
2020-04-10,39667
2020-04-11,3690
2020-04-12,2580
2020-04-13,48697
2020-04-14,46200
2020-04-15,50872
2020-04-16,71355
2020-04-17,56272
2020-04-18,6390
2020-04-19,4200
2020-04-20,64552
2020-04-21,69300
2020-04-22,79800
2020-04-23,79395
2020-04-24,94095
2020-04-25,8460
2020-04-26,6120
2020-04-27,159682
2020-04-28,129149
2020-04-29,105735
2020-04-30,116580
2020-05-01,103320
2020-05-02,11070
2020-05-03,7680
2020-05-04,151755
2020-05-05,137550
2020-05-06,131670
2020-05-07,145725
2020-05-08,133762
2020-05-09,15030
2020-05-10,9120
2020-05-11,176670
2020-05-12,162750
2020-05-13,159600
2020-05-14,146730
2020-05-15,137452
2020-05-16,15209
2020-05-17,9180
2020-05-18,181200
2020-05-19,200550
2020-05-20,170572
2020-05-21,162810
2020-05-22,177120
2020-05-23,18720
2020-05-24,10680
2020-05-25,185730
2020-05-26,201600
2020-05-27,168577
2020-05-28,177885
2020-05-29,160514
2020-05-30,16200
2020-05-31,12360
2020-06-01,217440
2020-06-02,187950
2020-06-03,179550
2020-06-04,207030
2020-06-05,174352
2020-06-06,16560
2020-06-07,11460
2020-06-08,231030
2020-06-09,194250
2020-06-10,192517
2020-06-11,180900
2020-06-12,157747
2020-06-13,17910
2020-06-14,11880
2020-06-15,248017
2020-06-16,211050
2020-06-17,229425
2020-06-18,193965
2020-06-19,211252
2020-06-20,18540
2020-06-21,12720
2020-06-22,245752
2020-06-23,219450
2020-06-24,171570
2020-06-25,214065
2020-06-26,181732
2020-06-27,17280
2020-06-28,13440
2020-06-29,245752
2020-06-30,193200
