Date,Counts
2019-12-31,257599
2020-01-01,232750
2020-01-02,278720
2020-01-03,239850
2020-01-04,25200
2020-01-05,15760
2020-01-06,295960
2020-01-07,274400
2020-01-08,255360
2020-01-09,273360
2020-01-10,261990
2020-01-11,24000
2020-01-12,16240
2020-01-13,300490
2020-01-14,270200
2020-01-15,288610
2020-01-16,266660
2020-01-17,246000
2020-01-18,23880
2020-01-19,15680
2020-01-20,306530
2020-01-21,289799
2020-01-22,292600
2020-01-23,253260
2020-01-24,236160
2020-01-25,23400
2020-01-26,17919
2020-01-27,309550
2020-01-28,323400
2020-01-29,264670
2020-01-30,263980
2020-01-31,247230
2020-02-01,27960
2020-02-02,15360
2020-02-03,312569
2020-02-04,285600
2020-02-05,267330
2020-02-06,266660
2020-02-07,266910
2020-02-08,22680
2020-02-09,18960
2020-02-10,309550
2020-02-11,299600
2020-02-12,254030
2020-02-13,282740
2020-02-14,296429
2020-02-15,25560
2020-02-16,15280
2020-02-17,306530
2020-02-18,324800
2020-02-19,327180
2020-02-20,281400
2020-02-21,271830
2020-02-22,26879
2020-02-23,18800
2020-02-24,339749
2020-02-25,299600
2020-02-26,305900
2020-02-27,296140
2020-02-28,260760
2020-02-29,25920
2020-03-01,16880
2020-03-02,326160
2020-03-03,296800
2020-03-04,266000
2020-03-05,289440
2020-03-06,274290
2020-03-07,25200
2020-03-08,18640
2020-03-09,315589
2020-03-10,316400
2020-03-11,299250
2020-03-12,300160
2020-03-13,238620
2020-03-14,28080
2020-03-15,19680
2020-03-16,294450
2020-03-17,281400
2020-03-18,232750
2020-03-19,214400
2020-03-20,166050
2020-03-21,17040
2020-03-22,8640
2020-03-23,152510
2020-03-24,138600
2020-03-25,140980
2020-03-26,115240
2020-03-27,126690
2020-03-28,13560
2020-03-29,7920
2020-03-30,149490
2020-03-31,144200
2020-04-01,123690
2020-04-02,150080
2020-04-03,124230
2020-04-04,12720
2020-04-05,7600
2020-04-06,158550
2020-04-07,161000
2020-04-08,162260
2020-04-09,128640
2020-04-10,142680
2020-04-11,13560
2020-04-12,9120
2020-04-13,188750
2020-04-14,182000
2020-04-15,190190
2020-04-16,191620
2020-04-17,189420
2020-04-18,20040
2020-04-19,13440
2020-04-20,259720
2020-04-21,218400
2020-04-22,268660
2020-04-23,266660
2020-04-24,253380
2020-04-25,23400
2020-04-26,18480
2020-04-27,339749
2020-04-28,324800
2020-04-29,284620
2020-04-30,355100
2020-05-01,293970
2020-05-02,27120
2020-05-03,18240
2020-05-04,427330
2020-05-05,379400
2020-05-06,363090
2020-05-07,352420
2020-05-08,334560
2020-05-09,34680
2020-05-10,24240
2020-05-11,403170
2020-05-12,397600
2020-05-13,361760
2020-05-14,385920
2020-05-15,302580
2020-05-16,35040
2020-05-17,21280
2020-05-18,392600
2020-05-19,396200
2020-05-20,413630
2020-05-21,359120
2020-05-22,355470
2020-05-23,33240
2020-05-24,23360
2020-05-25,395620
2020-05-26,404600
2020-05-27,387030
2020-05-28,410040
2020-05-29,334560
2020-05-30,35880
2020-05-31,24800
2020-06-01,448470
2020-06-02,410200
2020-06-03,437570
2020-06-04,419420
2020-06-05,366540
2020-06-06,37200
2020-06-07,21920
2020-06-08,416760
2020-06-09,434000
2020-06-10,409640
2020-06-11,395300
2020-06-12,341940
2020-06-13,38880
2020-06-14,24000
2020-06-15,478670
2020-06-16,401800
2020-06-17,388360
2020-06-18,410040
2020-06-19,351780
2020-06-20,38640
2020-06-21,25200
2020-06-22,439410
2020-06-23,453600
2020-06-24,412300
2020-06-25,393960
2020-06-26,382530
2020-06-27,40560
2020-06-28,23520
2020-06-29,448470
2020-06-30,455000
